"Story","Title","Result","Date","Stability","Duration (s)"
"ingreso de usuario","ingreso de usuario exitoso","PENDING","2024-07-18T18:10:38.4420352-05:00[America/Bogota]","0.0","0.37"
"ingreso de usuario","ingreso de usuario exitoso","SUCCESS","2024-07-18T18:47:55.7100135-05:00[America/Bogota]","0.0","31.57"
"Agregar producto al carrito","Agregar un producto al carrito de compras de forma exitosa","SUCCESS","2024-07-18T21:18:01.1381957-05:00[America/Bogota]","0.0","0.54"
"Agregar producto al carrito","Agregar un producto al carrito de compras de forma exitosa","SUCCESS","2024-07-18T21:39:24.8738156-05:00[America/Bogota]","0.0","38.81"
